id,level,category,subcategory,stem,choiceA,choiceB,choiceC,choiceD,choiceE,choiceF,answerIndex,explanation,difficulty,image,importedAt
q0032,1,Quantitative Methods,Statistical Measures of Asset Returns,The fund’s standard deviation of returns over the 10 years is closest to:,2.40 percent.,2.53 percent.,7.58 percent.,1,,,B,"The fund’s standard deviation of returns is calculated as follows: Year Return Deviation from Mean Deviation Squared 4.5% 0.0150 0.000225 6.0% 0.0300 0.000900 1.5% −0.0150 0.000225 −2.0% −0.0500 0.002500 0.0% −0.0300 0.000900 4.5% 0.0150 0.000225 3.5% 0.0050 0.000025 2.5% −0.0050 0.000025 5.5% 0.0250 0.000625 Statistical Measures of Asset Returns Year Return Deviation from Mean Deviation Squared 4.0% 0.0100 0.000100 Mean 3.0% Sum 0.005750 The standard deviation is the square root of the sum of the squared deviations, divided by n − 1: ​s = ​√ _ ​ 0.005750 _ ​(10 − 1)​ ​ ​ = 2.5276%.",1,,2026-01-20T07:12:33.512Z
q0574,1,Fixed Income,Bond Pricing,"A 3-year annual-pay bond has par 1,000 and coupon rate 4.00%. If YTM is 4.00%, the bond’s price is closest to:","1,000.00","1,040.00",960,"1,000.00","1,000.00",0,A,Price is the PV of coupons and principal discounted at YTM.,4,q0574_q0574.png,2026-01-20T07:12:33.527Z
q0512,1,Financial Reporting & Analysis,Depreciation,"An asset costs 240,000 with salvage value 25,000 and useful life 6 years. Straight-line depreciation per year is closest to:","35,833","43,000","28,667","40,000","40,000",0,A,Straight-line depreciation = (Cost − Salvage)/Life.,2,,2026-01-20T07:12:33.526Z
q0061,1,Quantitative Methods,Hypothesis Testing,"When evaluating mean differences between two dependent samples, the most appropriate test is a:",z-test.,chi-square test.,paired comparisons test.,2,,,C,A paired comparisons test is appropriate to test the mean differ- ences of two samples believed to be dependent. A is incorrect because a z-test is used to determine whether two population means are different when the vari- ances are known and the sample size is large. B is incorrect because a chi-square test is used for tests concerning the variance of a single normally distributed population.,1,q0061_q0061.png,2026-01-20T07:12:33.513Z
q0621,1,Economics,LM5: Introduction to Geopolitics,Un acteur non étatique (non-state actor) est typiquement :,un ministère de la défense.,une banque centrale.,un parlement national.,une entreprise multinationale ou une ONG pouvant influencer des décisions.,une entreprise multinationale ou une ONG pouvant influencer des décisions.,3,D,,1,q0621_q0621.png,2026-01-19T23:10:30.147Z
q0501,1,Financial Reporting & Analysis,Inventory,"Beginning inventory is 350, purchases are 800, and ending inventory is 280. Cost of goods sold is closest to:",870,910,830,1150,1150,0,A,COGS = Beginning inventory + Purchases − Ending inventory.,2,,2026-01-20T07:12:33.525Z
q0028,1,Quantitative Methods,Statistical Measures of Asset Returns,The fourth quartile corresponds to observations in bin(s):,17,"17, 18, 19, and 20.","16, 17, 18, 19, and 20.",2,,,C,"A quartile consists of 25 percent of the data, and the last 25 percent of the 20 bins are 16 through 20.",1,,2026-01-20T07:12:33.511Z
q0599,1,Derivatives,Options,The payoff of a long call option at expiration is:,"max(S−K, 0)","max(K−S, 0)",S+K,K+S,K+S,0,A,"A long call payoff is max(S−K, 0).",1,q0599_q0599.png,2026-01-20T07:12:33.528Z
q0041,1,Quantitative Methods,Practice Problems,Analysts performing bootstrap:,seek to create statistical inferences of population parameters from a single sample.,"repeatedly draw samples of the same size, with replacement, from the origi- nal population.",must specify probability distributions for key risk factors that drive the underlying random variables.,0,,,A,"Bootstrapping through random sampling generates the observed variable from a random sampling with unknown population parameters. The an- alyst does not know the true population distribution, but through sampling can infer the population parameters from the randomly generated sample. B is incor- rect because, when performing bootstrap, the analyst repeatedly draws samples from the original sample and not population, where each individual resample has the same size as the original sample and each item drawn is replaced for the next draw.",1,,2026-01-20T07:12:33.512Z
q0766,1,Economics,LM7: Capital Flows and the FX Market,Un « real money account » en FX désigne plutôt :,"fonds institutionnels souvent peu levierisés (assureurs, pensions, mutual funds).",comptes de détail avec levier maximal.,banques centrales seulement.,traders HFT à horizon milliseconde uniquement.,traders HFT à horizon milliseconde uniquement.,0,A,,1,,2026-01-19T23:10:30.153Z
q0876,1,Economics,LM8: Exchange Rate Calculations,On a CAD/USD = 1.4098 et USD/EUR = 0.9962. Le cross-rate CAD/EUR (approx.) vaut :,1.3764,1.4044,1.4325,1.4152,1.4152,1,B,,4,q0876_q0876.png,2026-01-19T23:10:28.953Z
q0545,1,Equity Investments,Equity Valuation,"Using the Gordon growth model, if D1=2.50, r=11.00%, and g=6.00%, the stock’s intrinsic value is closest to:",50,42.5,57.5,22.73,22.73,0,A,Gordon: V0 = D1/(r−g).,3,,2026-01-20T07:12:33.527Z
q0657,1,Economics,LM6: International Trade,Un tarif douanier (tariff) a tendance à :,baisser le prix intérieur et augmenter les importations.,ne pas affecter l’offre domestique.,augmenter le prix intérieur et réduire la quantité importée.,supprimer la perte sèche (deadweight loss).,supprimer la perte sèche (deadweight loss).,2,C,,3,,2026-01-19T23:10:30.149Z
q0277,1,Economics,Elasticity,"Quantity demanded changes from 120 to 140 when price changes from 12 to 11. Using the midpoint method, price elasticity of demand is closest to:",-1.77,1.77,-0.88,-2.65,-2.65,0,A,Midpoint elasticity = (ΔQ/avg Q)/(ΔP/avg P). Sign is typically negative for demand.,4,,2026-01-20T07:12:33.520Z
q0743,1,Economics,LM6: International Trade,Un accord de libre-échange (FTA) implique généralement :,"suppression des barrières entre membres, mais politique extérieure propre à chacun.",monnaie unique obligatoire.,tarif extérieur commun obligatoire.,interdiction des IDE.,interdiction des IDE.,0,A,,2,,2026-01-19T23:10:30.152Z
q0591,1,Derivatives,Forwards and Futures,"For a non-dividend-paying asset with spot price 45 and risk-free rate 7.00%, the no-arbitrage forward price for T=0.5 years is closest to:",46.55,46.57,43.5,50.55,50.55,0,A,"Ignoring dividends, F0 = S0(1+r)^T (with consistent compounding).",3,,2026-01-20T07:12:33.528Z
q0380,1,Derivatives,Forwards and Futures,"For a non-dividend-paying asset with spot price 75 and risk-free rate 3.00%, the no-arbitrage forward price for maturity T=1.0 years is closest to:",77.25,77.25,72.82,82.25,82.25,0,A,"Ignoring dividends and using annual compounding, F0 = S0(1+r)^T.",3,,2026-01-20T07:12:33.522Z
q0606,1,Economics,LM5: Introduction to Geopolitics,La mondialisation peut accroître la vulnérabilité car :,elle supprime les chocs d’offre.,elle élimine la concurrence.,les chaînes de valeur et dépendances croisées propagent les chocs.,elle rend les flux financiers impossibles.,elle rend les flux financiers impossibles.,2,C,,2,,2026-01-19T23:10:30.147Z
q0296,1,Financial Reporting & Analysis,Depreciation,"An asset costs 120,000 with salvage value 10,000 and useful life 4 years. Straight-line annual depreciation is closest to:","27,500","33,000","22,000","30,000","30,000",0,A,Straight-line depreciation = (Cost − Salvage)/Life.,2,,2026-01-20T07:12:33.520Z
